,type,arrive,nights,room_rent,owner_commission,management_commission
0,STA,2023-12-08,3,691.0,552.8,138.2
1,STA,2023-09-13,3,495.0,396.0,99.0
2,STA,2023-08-31,3,896.0,716.8,179.2
3,STA,2023-08-07,24,4200.0,3360.0,840.0
4,Airbnb-NI,2023-08-04,2,330.37,264.3,66.07
5,STA,2023-07-27,4,700.0,560.0,140.0
6,Airbnb-NI,2023-07-20,3,509.53,407.62,101.91
7,HAFamOLB,2023-07-13,3,551.25,441.0,110.25
8,Airbnb-NI,2023-07-01,3,484.46,387.57,96.89
9,STA,2023-06-23,5,1177.0,941.6,235.4
10,STA,2023-06-15,3,823.0,658.4,164.6
11,Airbnb-NI,2023-05-26,3,410.74,328.59,82.15
12,HAFamOLB,2023-05-10,4,776.99,621.59,155.4
13,HAFamOLB,2023-04-11,2,309.0,247.2,61.8
14,Airbnb-NI,2023-04-07,3,481.66,385.33,96.33
15,Airbnb-NI,2023-04-04,3,416.67,333.34,83.33
16,HAFamOLB,2023-04-01,3,515.0,412.0,103.0
17,OWN,2023-03-11,20,0.0,0.0,0.0
18,HAFamOLB,2023-02-24,4,660.0,528.0,132.0
19,Airbnb-NI,2023-02-17,2,274.86,219.89,54.97
20,Airbnb-NI,2022-12-30,3,810.52,648.42,162.1
21,Airbnb-NI,2022-12-27,3,717.4,573.92,143.48
22,Airbnb-NI,2022-12-09,2,431.25,345.0,86.25
23,Airbnb-NI,2022-11-25,3,795.0,636.0,159.0
24,HAFamOLB,2022-11-18,7,1625.0,1300.0,325.0
25,HAFamOLB,2022-11-11,2,450.0,360.0,90.0
26,Airbnb-NI,2022-11-04,2,431.25,345.0,86.25
27,HAFamOLB,2022-10-28,2,450.0,360.0,90.0
28,STA,2022-10-21,2,450.0,360.0,90.0
29,HAFamOLB,2022-10-13,3,625.01,500.01,125.0
30,HAFamOLB,2022-10-06,5,975.0,780.0,195.0
31,STA,2022-08-28,21,3675.0,2940.0,735.0
32,STA,2022-08-01,27,5125.0,4100.0,1025.0
33,Airbnb-NI,2022-07-28,3,656.0,524.8,131.2
34,HAFamOLB,2022-07-16,7,1258.75,1007.0,251.75
35,HAFamOLB,2022-07-07,3,700.0,560.0,140.0
36,Airbnb-NI,2022-07-02,3,775.85,620.68,155.17
37,HAFamOLB,2022-06-26,5,1000.0,800.0,200.0
38,HAFamOLB,2022-06-24,2,450.0,360.0,90.0
39,HAFamOLB,2022-06-18,3,625.01,500.01,125.0
40,HAFamOLB,2022-06-08,9,1638.75,1311.0,327.75
41,HAFamOLB,2022-06-04,2,450.0,360.0,90.0
42,STA,2022-06-02,2,450.0,360.0,90.0
43,HAFamOLB,2022-05-27,3,650.0,520.0,130.0
44,STA,2022-05-01,14,2200.0,1760.0,440.0
45,HAFamOLB,2022-04-29,2,450.0,360.0,90.0
46,HAFamOLB,2022-04-22,2,350.0,280.0,70.0
47,HAFamOLB,2022-04-16,5,775.0,620.0,155.0
48,STA,2022-04-11,5,925.0,740.0,185.0
49,HAFamL,2022-04-02,7,1100.0,880.0,220.0
50,HAFamL,2022-03-24,3,500.0,400.0,100.0
51,HAFamL,2022-03-18,2,350.0,280.0,70.0
52,HAFamL,2022-03-11,3,500.0,400.0,100.0
53,HAFamL,2022-02-19,2,325.0,260.0,65.0
